event_id,event_type,timestamp,customer_id,amount_at_risk,currency,merchant,merchant_category,payment_method,payment_status,error_code,error_description,error_source,error_step,error_reason,fraud_flag,previous_attempts
PAY_00001,payment_failure,2019-12-23 17:53:17,CUST_11,6630.87,INR,"fraud_Koss, McLaughlin and Mayer",food_dining,card,failed,CARD_EXPIRED,The payment card is expired or no longer valid.,customer_payment_method,payment_validation,expired_card,False,3
PAY_00002,payment_failure,2020-04-27 09:40:32,CUST_34,7152.11,INR,fraud_Rau and Sons,grocery_pos,card,failed,BANK_TIMEOUT,The issuing bank did not respond within the allowed window.,bank,authorization,bank_timeout,False,1
PAY_00003,payment_failure,2019-12-17 01:59:55,CUST_772,558.59,INR,fraud_Fisher-Schowalter,shopping_net,netbanking,failed,CARD_EXPIRED,The payment card is expired or no longer valid.,customer_payment_method,payment_validation,expired_card,False,2
PAY_00004,payment_failure,2020-04-30 00:24:24,CUST_631,8667.69,INR,fraud_Kilback LLC,grocery_pos,upi,failed,FUNDS_UNAVAILABLE,Available balance was insufficient for the payment.,bank,authorization,insufficient_funds,False,3
PAY_00005,payment_failure,2020-06-02 22:47:20,CUST_180,12116.34,INR,fraud_Conroy Ltd,shopping_pos,upi_autopay,failed,MANDATE_FAILED,The recurring payment mandate could not be executed.,bank,mandate_execution,mandate_failure,False,1
PAY_00006,payment_failure,2019-08-22 18:58:20,CUST_1,981.06,INR,"fraud_Hyatt, Russel and Gleichner",health_fitness,netbanking,failed,NETWORK_ERROR,A temporary network error interrupted the payment flow.,gateway,payment_processing,network_error,False,2
PAY_00007,payment_failure,2019-06-09 11:27:17,CUST_531,3446.16,INR,"fraud_Raynor, Feest and Miller",gas_transport,netbanking,failed,FUNDS_UNAVAILABLE,Available balance was insufficient for the payment.,bank,authorization,insufficient_funds,False,0
PAY_00008,payment_failure,2019-11-13 01:44:47,CUST_764,5634.87,INR,fraud_Bogisich Inc,grocery_pos,netbanking,failed,NETWORK_ERROR,A temporary network error interrupted the payment flow.,gateway,payment_processing,network_error,False,0
PAY_00009,payment_failure,2019-03-13 22:42:49,CUST_758,146.08,INR,"fraud_Champlin, Rolfson and Connelly",travel,upi,failed,NETWORK_ERROR,A temporary network error interrupted the payment flow.,gateway,payment_processing,network_error,False,1
PAY_00010,payment_failure,2019-07-01 14:16:35,CUST_851,2739.0,INR,fraud_Schmeler-Howe,personal_care,netbanking,failed,FUNDS_UNAVAILABLE,Available balance was insufficient for the payment.,bank,authorization,insufficient_funds,False,0
PAY_00011,payment_failure,2019-05-04 22:46:40,CUST_269,17344.51,INR,fraud_Torp-Lemke,misc_pos,card,failed,NETWORK_ERROR,A temporary network error interrupted the payment flow.,gateway,payment_processing,network_error,False,3
PAY_00012,payment_failure,2019-11-02 10:45:00,CUST_353,3530.82,INR,"fraud_Tillman, Dickinson and Labadie",gas_transport,upi,failed,FUNDS_UNAVAILABLE,Available balance was insufficient for the payment.,bank,authorization,insufficient_funds,False,0
PAY_00013,payment_failure,2020-05-23 14:37:44,CUST_4,3953.29,INR,fraud_Larkin Ltd,kids_pets,upi,failed,FUNDS_UNAVAILABLE,Available balance was insufficient for the payment.,bank,authorization,insufficient_funds,False,2
PAY_00014,payment_failure,2020-06-21 05:01:53,CUST_480,2561.38,INR,fraud_Upton PLC,entertainment,card,failed,BANK_TIMEOUT,The issuing bank did not respond within the allowed window.,bank,authorization,bank_timeout,False,2
PAY_00015,payment_failure,2019-05-11 02:19:35,CUST_470,6804.34,INR,"fraud_Casper, Hand and Zulauf",grocery_pos,upi,failed,BANK_TIMEOUT,The issuing bank did not respond within the allowed window.,bank,authorization,bank_timeout,False,1
PAY_00016,payment_failure,2020-05-26 03:20:00,CUST_767,2640.23,INR,fraud_Schmeler Inc,misc_pos,netbanking,failed,FUNDS_UNAVAILABLE,Available balance was insufficient for the payment.,bank,authorization,insufficient_funds,False,2
PAY_00017,payment_failure,2020-02-11 09:05:02,CUST_683,3892.7,INR,fraud_Weber and Sons,food_dining,upi,failed,CARD_EXPIRED,The payment card is expired or no longer valid.,customer_payment_method,payment_validation,expired_card,False,0
PAY_00018,payment_failure,2019-05-02 13:25:17,CUST_413,4975.02,INR,"fraud_Walter, Hettinger and Kessler",personal_care,upi,failed,FUNDS_UNAVAILABLE,Available balance was insufficient for the payment.,bank,authorization,insufficient_funds,False,3
PAY_00019,payment_failure,2019-04-29 06:26:29,CUST_683,986.04,INR,fraud_Bruen-Yost,misc_pos,card,failed,CARD_EXPIRED,The payment card is expired or no longer valid.,customer_payment_method,payment_validation,expired_card,False,3
PAY_00020,payment_failure,2019-01-03 17:56:40,CUST_55,7592.01,INR,fraud_Gerhold LLC,home,upi,failed,NETWORK_ERROR,A temporary network error interrupted the payment flow.,gateway,payment_processing,network_error,False,1
PAY_00021,payment_failure,2020-01-26 01:19:34,CUST_413,86.32,INR,"fraud_Tillman, Fritsch and Schmitt",misc_net,netbanking,failed,BANK_TIMEOUT,The issuing bank did not respond within the allowed window.,bank,authorization,bank_timeout,False,2
