event_id,event_type,timestamp,checkout_id,customer_id,amount_at_risk,currency,cart_value,items_count,checkout_started_at,last_activity_at,abandonment_age_minutes,payment_attempted,payment_completed,checkout_completed,abandonment_detected,customer_history_score
CHK_00001,checkout_abandonment,2019-07-27 18:41:33,CHK_SESSION_000001,CUST_785,4513.54,INR,4513.54,5,2019-07-27 17:24:33,2019-07-27 17:24:33,77,False,False,False,True,0.791
CHK_00002,checkout_abandonment,2019-10-29 17:58:37,CHK_SESSION_000002,CUST_762,2948.16,INR,2948.16,3,2019-10-29 16:03:37,2019-10-29 16:04:37,114,False,False,False,True,0.594
CHK_00003,checkout_abandonment,2019-02-04 09:33:14,CHK_SESSION_000003,CUST_210,9925.14,INR,9925.14,10,2019-02-04 07:00:14,2019-02-04 07:02:14,151,False,False,False,True,0.595
CHK_00004,checkout_abandonment,2019-12-28 20:31:16,CHK_SESSION_000004,CUST_50,13679.23,INR,13679.23,10,2019-12-28 17:20:16,2019-12-28 17:23:16,188,False,False,False,True,0.789
CHK_00005,checkout_abandonment,2019-12-07 10:53:38,CHK_SESSION_000005,CUST_660,1710.63,INR,1710.63,2,2019-12-07 07:04:38,2019-12-07 07:08:38,225,False,False,False,True,0.689
CHK_00006,checkout_abandonment,2020-06-21 06:27:08,CHK_SESSION_000006,CUST_290,63657.68,INR,63657.68,10,2020-06-21 02:00:08,2020-06-21 02:05:08,262,False,False,False,True,0.694
CHK_00007,checkout_abandonment,2020-03-07 19:51:16,CHK_SESSION_000007,CUST_602,1011.77,INR,1011.77,1,2020-03-07 14:46:16,2020-03-07 14:52:16,299,False,False,False,True,0.689
CHK_00008,checkout_abandonment,2019-12-23 02:21:36,CHK_SESSION_000008,CUST_319,4740.96,INR,4740.96,5,2019-12-22 20:38:36,2019-12-22 20:45:36,336,False,False,False,True,0.696
CHK_00009,checkout_abandonment,2019-01-28 03:02:51,CHK_SESSION_000009,CUST_295,1583.64,INR,1583.64,2,2019-01-27 20:41:51,2019-01-27 20:49:51,373,False,False,False,True,0.691
CHK_00010,checkout_abandonment,2020-06-03 05:01:03,CHK_SESSION_000010,CUST_87,3674.41,INR,3674.41,4,2020-06-02 22:02:03,2020-06-02 22:11:03,410,False,False,False,True,0.489
CHK_00011,checkout_abandonment,2020-05-02 01:39:57,CHK_SESSION_000011,CUST_48,533.69,INR,533.69,1,2020-05-01 18:12:57,2020-05-01 18:12:57,447,False,False,False,True,0.491
CHK_00012,checkout_abandonment,2020-04-17 01:24:14,CHK_SESSION_000012,CUST_425,1037.5,INR,1037.5,1,2020-04-16 17:19:14,2020-04-16 17:20:14,484,False,False,False,True,0.696
CHK_00013,checkout_abandonment,2019-10-22 07:28:15,CHK_SESSION_000013,CUST_584,229.91,INR,229.91,1,2019-10-21 22:45:15,2019-10-21 22:47:15,521,False,False,False,True,0.689
CHK_00014,checkout_abandonment,2019-06-15 08:19:13,CHK_SESSION_000014,CUST_43,1674.94,INR,1674.94,2,2019-06-14 22:58:13,2019-06-14 23:01:13,558,False,False,False,True,0.794
CHK_00015,checkout_abandonment,2020-05-17 11:11:22,CHK_SESSION_000015,CUST_93,16253.06,INR,16253.06,10,2020-05-17 01:12:22,2020-05-17 01:16:22,595,False,False,False,True,0.898
CHK_00016,checkout_abandonment,2019-12-02 02:41:02,CHK_SESSION_000016,CUST_273,45556.21,INR,45556.21,10,2019-12-01 16:04:02,2019-12-01 16:09:02,632,False,False,False,True,0.995
CHK_00017,checkout_abandonment,2020-05-03 02:42:07,CHK_SESSION_000017,CUST_468,324.53,INR,324.53,1,2020-05-02 15:27:07,2020-05-02 15:33:07,669,False,False,False,True,0.693
CHK_00018,checkout_abandonment,2019-04-26 09:14:06,CHK_SESSION_000018,CUST_392,1656.68,INR,1656.68,2,2019-04-25 21:21:06,2019-04-25 21:28:06,706,False,False,False,True,0.987
CHK_00019,checkout_abandonment,2019-02-05 05:54:05,CHK_SESSION_000019,CUST_691,4887.04,INR,4887.04,5,2019-02-04 17:23:05,2019-02-04 17:31:05,743,False,False,False,True,0.895
CHK_00020,checkout_abandonment,2019-07-29 13:50:55,CHK_SESSION_000020,CUST_738,910.51,INR,910.51,1,2019-07-29 00:41:55,2019-07-29 00:50:55,780,False,False,False,True,0.499
CHK_00021,checkout_abandonment,2020-05-10 11:05:27,CHK_SESSION_000021,CUST_431,43614.01,INR,43614.01,10,2020-05-09 21:28:27,2020-05-09 21:28:27,817,False,False,False,True,0.698
CHK_00022,checkout_abandonment,2020-06-01 17:47:08,CHK_SESSION_000022,CUST_189,761.11,INR,761.11,1,2020-06-01 03:32:08,2020-06-01 03:33:08,854,False,False,False,True,0.786
CHK_00023,checkout_abandonment,2019-01-23 00:45:09,CHK_SESSION_000023,CUST_565,2436.05,INR,2436.05,2,2019-01-22 09:52:09,2019-01-22 09:54:09,891,False,False,False,True,0.693
