case_id,event_type,amount,customer_profile,problem_summary,root_cause,action_taken,policy_result,outcome,recovered_amount,days_to_recovery
CASE_00001,payment_failure,8209.53,Returning customer with historical transaction activity.,"Payment of ₹8,209.53 failed during the payment flow.",mandate_failure,mandate_retry,approved,recovered,8209.53,1
CASE_00002,payment_failure,12562.05,Returning customer with historical transaction activity.,"Payment of ₹12,562.05 failed during the payment flow.",bank_timeout,delayed_retry,approved,recovered,12562.05,2
CASE_00003,payment_failure,5604.16,Returning customer with historical transaction activity.,"Payment of ₹5,604.16 failed during the payment flow.",expired_card,payment_method_update,approved,failed,0.0,0
CASE_00004,payment_failure,214.97,Returning customer with historical transaction activity.,Payment of ₹214.97 failed during the payment flow.,bank_timeout,delayed_retry,approved,failed,0.0,0
CASE_00005,payment_failure,4073.64,Returning customer with historical transaction activity.,"Payment of ₹4,073.64 failed during the payment flow.",fraud_risk,block_and_escalate,blocked,blocked,0.0,0
CASE_00006,payment_failure,6051.53,Returning customer with historical transaction activity.,"Payment of ₹6,051.53 failed during the payment flow.",expired_card,payment_method_update,approved,failed,0.0,0
CASE_00007,payment_failure,2561.38,Returning customer with historical transaction activity.,"Payment of ₹2,561.38 failed during the payment flow.",insufficient_funds,delayed_retry,approved,recovered,2561.38,1
CASE_00008,payment_failure,6195.12,Returning customer with historical transaction activity.,"Payment of ₹6,195.12 failed during the payment flow.",mandate_failure,mandate_retry,approved,failed,0.0,0
CASE_00009,payment_failure,4900.32,Returning customer with historical transaction activity.,"Payment of ₹4,900.32 failed during the payment flow.",bank_timeout,delayed_retry,approved,recovered,4900.32,2
CASE_00010,payment_failure,656.53,Returning customer with historical transaction activity.,Payment of ₹656.53 failed during the payment flow.,insufficient_funds,delayed_retry,approved,failed,0.0,0
CASE_00011,payment_failure,5443.97,Returning customer with historical transaction activity.,"Payment of ₹5,443.97 failed during the payment flow.",network_error,retry,approved,recovered,5443.97,2
CASE_00012,payment_failure,820.87,Returning customer with historical transaction activity.,Payment of ₹820.87 failed during the payment flow.,bank_timeout,delayed_retry,approved,recovered,820.87,1
CASE_00013,payment_failure,164.34,Returning customer with historical transaction activity.,Payment of ₹164.34 failed during the payment flow.,bank_timeout,delayed_retry,approved,recovered,164.34,1
CASE_00014,payment_failure,4075.3,Returning customer with historical transaction activity.,"Payment of ₹4,075.30 failed during the payment flow.",network_error,retry,approved,recovered,4075.3,3
CASE_00015,payment_failure,11849.08,Returning customer with historical transaction activity.,"Payment of ₹11,849.08 failed during the payment flow.",insufficient_funds,delayed_retry,approved,recovered,11849.08,3
CASE_00016,payment_failure,129.48,Returning customer with historical transaction activity.,Payment of ₹129.48 failed during the payment flow.,bank_timeout,delayed_retry,approved,recovered,129.48,2
CASE_00017,payment_failure,766.09,Returning customer with historical transaction activity.,Payment of ₹766.09 failed during the payment flow.,network_error,retry,approved,recovered,766.09,2
CASE_00018,payment_failure,5233.98,Returning customer with historical transaction activity.,"Payment of ₹5,233.98 failed during the payment flow.",bank_timeout,delayed_retry,approved,recovered,5233.98,3
CASE_00019,payment_failure,2317.36,Returning customer with historical transaction activity.,"Payment of ₹2,317.36 failed during the payment flow.",mandate_failure,mandate_retry,approved,partial,1282.32,3
CASE_00020,payment_failure,6471.51,Returning customer with historical transaction activity.,"Payment of ₹6,471.51 failed during the payment flow.",bank_timeout,delayed_retry,approved,failed,0.0,0
CASE_00021,payment_failure,523.73,Returning customer with historical transaction activity.,Payment of ₹523.73 failed during the payment flow.,expired_card,payment_method_update,approved,recovered,523.73,2
CASE_00022,payment_failure,373.5,Returning customer with historical transaction activity.,Payment of ₹373.50 failed during the payment flow.,network_error,retry,approved,recovered,373.5,3
CASE_00023,payment_failure,12070.69,Returning customer with historical transaction activity.,"Payment of ₹12,070.69 failed during the payment flow.",network_error,retry,approved,recovered,12070.69,3
CASE_00024,payment_failure,212.48,Returning customer with historical transaction activity.,Payment of ₹212.48 failed during the payment flow.,insufficient_funds,delayed_retry,approved,partial,77.33,3
CASE_00025,payment_failure,16160.1,Returning customer with historical transaction activity.,"Payment of ₹16,160.10 failed during the payment flow.",network_error,retry,approved,recovered,16160.1,2
CASE_00026,payment_failure,2450.99,Returning customer with historical transaction activity.,"Payment of ₹2,450.99 failed during the payment flow.",expired_card,payment_method_update,approved,failed,0.0,0
CASE_00027,payment_failure,12155.35,Returning customer with historical transaction activity.,"Payment of ₹12,155.35 failed during the payment flow.",insufficient_funds,delayed_retry,approved,recovered,12155.35,2
CASE_00028,payment_failure,711.31,Returning customer with historical transaction activity.,Payment of ₹711.31 failed during the payment flow.,expired_card,payment_method_update,approved,recovered,711.31,2
CASE_00029,payment_failure,284.69,Returning customer with historical transaction activity.,Payment of ₹284.69 failed during the payment flow.,network_error,retry,approved,recovered,284.69,3
CASE_00030,payment_failure,16833.23,Returning customer with historical transaction activity.,"Payment of ₹16,833.23 failed during the payment flow.",network_error,retry,approved,recovered,16833.23,3
CASE_00031,payment_failure,9030.4,Returning customer with historical transaction activity.,"Payment of ₹9,030.40 failed during the payment flow.",network_error,retry,approved,recovered,9030.4,3
CASE_00032,payment_failure,3056.89,Returning customer with historical transaction activity.,"Payment of ₹3,056.89 failed during the payment flow.",insufficient_funds,delayed_retry,approved,failed,0.0,0
CASE_00033,payment_failure,9523.42,Returning customer with historical transaction activity.,"Payment of ₹9,523.42 failed during the payment flow.",mandate_failure,mandate_retry,approved,recovered,9523.42,2
CASE_00034,payment_failure,7846.82,Returning customer with historical transaction activity.,"Payment of ₹7,846.82 failed during the payment flow.",expired_card,payment_method_update,approved,recovered,7846.82,2
