event_id,event_type,timestamp,invoice_id,customer_id,amount_at_risk,currency,invoice_date,due_date,days_overdue,payment_status,payment_received,previous_invoice_count,previous_late_payment_count,reminder_count
INV_EVT_00001,overdue_invoice,2026-08-29,INV_000001,B2B_0258,41845.48,INR,2026-06-01,2026-07-01,59,overdue,False,12,0,3
INV_EVT_00002,overdue_invoice,2026-08-29,INV_000002,B2B_0283,109117.1,INR,2026-04-16,2026-05-31,90,overdue,False,5,1,2
INV_EVT_00003,overdue_invoice,2026-08-29,INV_000003,B2B_0078,27652.68,INR,2026-04-12,2026-05-27,94,overdue,False,4,1,0
INV_EVT_00004,overdue_invoice,2026-08-29,INV_000004,B2B_0030,28343.84,INR,2026-07-14,2026-08-13,16,overdue,False,9,6,2
INV_EVT_00005,overdue_invoice,2026-08-29,INV_000005,B2B_0117,148946.37,INR,2026-06-07,2026-06-22,68,overdue,False,6,2,0
INV_EVT_00006,overdue_invoice,2026-08-29,INV_000006,B2B_0029,43298.07,INR,2026-06-05,2026-07-20,40,overdue,False,7,2,1
INV_EVT_00007,overdue_invoice,2026-08-29,INV_000007,B2B_0131,42315.25,INR,2026-06-17,2026-07-17,43,overdue,False,4,0,3
INV_EVT_00008,overdue_invoice,2026-08-29,INV_000008,B2B_0206,364253.36,INR,2026-04-21,2026-06-05,85,overdue,False,7,0,2
INV_EVT_00009,overdue_invoice,2026-08-29,INV_000009,B2B_0028,79252.55,INR,2026-06-24,2026-07-09,51,overdue,False,14,3,3
INV_EVT_00010,overdue_invoice,2026-08-29,INV_000010,B2B_0250,72378.15,INR,2026-06-03,2026-07-03,57,overdue,False,11,2,0
INV_EVT_00011,overdue_invoice,2026-08-29,INV_000011,B2B_0264,62414.87,INR,2026-05-05,2026-06-04,86,overdue,False,5,4,3
INV_EVT_00012,overdue_invoice,2026-08-29,INV_000012,B2B_0097,104559.93,INR,2026-05-06,2026-06-05,85,overdue,False,10,9,1
INV_EVT_00013,overdue_invoice,2026-08-29,INV_000013,B2B_0136,42573.26,INR,2026-07-12,2026-08-26,3,overdue,False,7,5,1
INV_EVT_00014,overdue_invoice,2026-08-29,INV_000014,B2B_0112,78519.07,INR,2026-04-22,2026-06-06,84,overdue,False,10,0,3
INV_EVT_00015,overdue_invoice,2026-08-29,INV_000015,B2B_0295,178904.11,INR,2026-04-06,2026-05-21,100,overdue,False,11,1,0
INV_EVT_00016,overdue_invoice,2026-08-29,INV_000016,B2B_0026,58030.95,INR,2026-05-08,2026-06-07,83,overdue,False,9,1,0
INV_EVT_00017,overdue_invoice,2026-08-29,INV_000017,B2B_0113,11183.25,INR,2026-05-20,2026-06-04,86,overdue,False,8,0,1
INV_EVT_00018,overdue_invoice,2026-08-29,INV_000018,B2B_0018,44414.24,INR,2026-06-18,2026-07-18,42,overdue,False,11,2,3
INV_EVT_00019,overdue_invoice,2026-08-29,INV_000019,B2B_0251,138649.64,INR,2026-07-12,2026-07-27,33,overdue,False,7,1,2
INV_EVT_00020,overdue_invoice,2026-08-29,INV_000020,B2B_0202,183865.67,INR,2026-05-03,2026-06-02,88,overdue,False,13,0,3
INV_EVT_00021,overdue_invoice,2026-08-29,INV_000021,B2B_0117,100318.24,INR,2026-06-22,2026-07-22,38,overdue,False,6,2,2
INV_EVT_00022,overdue_invoice,2026-08-29,INV_000022,B2B_0048,234961.3,INR,2026-04-10,2026-04-25,126,overdue,False,3,0,3
INV_EVT_00023,overdue_invoice,2026-08-29,INV_000023,B2B_0149,32648.3,INR,2026-05-26,2026-07-10,50,overdue,False,13,1,3
INV_EVT_00024,overdue_invoice,2026-08-29,INV_000024,B2B_0250,208633.59,INR,2026-06-03,2026-07-03,57,overdue,False,11,2,2
INV_EVT_00025,overdue_invoice,2026-08-29,INV_000025,B2B_0297,88703.91,INR,2026-06-26,2026-08-10,19,overdue,False,4,1,3
